COD_UBIC_P,DESC_LINEA,COD_VARIAN,franja_horaria,cant_viajes
1211,185,1330,00-10,11
1211,185,1330,10-18,33
1211,185,1337,00-10,826
1211,185,1337,10-18,3136
1211,185,1337,18-00,1026
1211,185,1341,00-10,1
1211,185,1341,18-00,9
1211,185,1342,00-10,1
1211,185,1343,10-18,1
1211,185,1345,00-10,10
1211,185,1345,18-00,8
1211,185,1346,00-10,5
1211,185,1346,10-18,26
1211,185,1346,18-00,34
1211,185,2297,10-18,4
1211,185,2297,18-00,2
1211,185,3024,10-18,4
1211,185,3024,18-00,11
1211,185,3269,00-10,27
1211,185,3269,18-00,131
1211,185,3286,00-10,7
1211,185,3287,00-10,3
1211,185,3288,10-18,6
1211,185,3288,18-00,2
1211,185,3290,00-10,1
1211,185,3292,00-10,84
1211,185,3292,10-18,29
1211,185,3292,18-00,125
1211,185,3293,00-10,1
1211,185,3293,10-18,22
1211,185,3293,18-00,93
1211,185,3294,18-00,1
1211,185,3295,00-10,23
1211,186,1354,00-10,77
1211,186,1354,18-00,71
1211,186,1357,00-10,7
1211,186,3311,00-10,206
1211,186,3311,10-18,563
1211,186,3311,18-00,108
1211,186,8130,00-10,1
1211,306,1687,00-10,13
1211,306,1689,00-10,21
1211,306,1689,10-18,15
1211,306,1689,18-00,1
1211,306,1761,00-10,481
1211,306,1761,10-18,2489
1211,306,1761,18-00,975
1211,306,1974,00-10,23
1211,306,3088,00-10,31
1211,306,3088,10-18,16
1211,306,3158,18-00,7
1211,306,3236,00-10,49
1211,306,7695,10-18,2
1211,306,7695,18-00,49
1211,306,7878,10-18,8
1211,370,1744,00-10,132
1211,370,1744,10-18,44
1211,370,1748,00-10,53
1211,370,1748,10-18,439
1211,370,1748,18-00,168
1211,370,1749,00-10,493
1211,370,1749,10-18,1755
1211,370,1749,18-00,795
1211,427,83,00-10,304
1211,427,83,10-18,1634
1211,427,83,18-00,643
1211,427,84,00-10,12
1211,427,84,10-18,179
1211,427,84,18-00,44
1211,427,85,10-18,2
1211,427,1955,00-10,21
1211,427,2123,00-10,1
1211,427,2123,10-18,54
1211,427,2123,18-00,160
1211,427,2124,10-18,143
1211,427,2358,00-10,9
1211,427,2358,10-18,372
1211,427,2358,18-00,150
1211,427,2360,00-10,84
1211,427,2360,10-18,252
1211,427,2360,18-00,65
1211,427,2622,00-10,1
1211,524,185,00-10,248
1211,524,185,10-18,1594
1211,524,185,18-00,807
1211,524,2101,00-10,25
1211,524,2101,10-18,2
1211,546,217,00-10,12
1211,546,217,10-18,6
1211,546,217,18-00,128
1211,L14,168,00-10,488
1211,L14,168,10-18,1806
1211,L14,168,18-00,548
1212,125,666,00-10,9
1212,125,667,00-10,304
1212,125,667,10-18,902
1212,125,667,18-00,283
1212,125,672,00-10,27
1212,125,2199,00-10,63
1212,125,2199,10-18,307
1212,125,2199,18-00,82
1212,133,2267,00-10,45
1212,133,2267,10-18,3
1212,133,2267,18-00,1
1212,133,2983,00-10,119
1212,133,2983,18-00,11
1212,133,2985,18-00,21
1212,133,3050,00-10,2
1212,137,796,00-10,143
1212,137,796,10-18,1
1212,137,796,18-00,22
1212,137,800,00-10,23
1212,137,800,10-18,67
1212,137,800,18-00,12
1212,137,808,00-10,35
1212,137,808,10-18,45
1212,137,815,00-10,141
1212,137,815,10-18,1335
1212,137,815,18-00,275
1212,137,2973,18-00,19
1212,137,2976,00-10,2
1212,137,2981,00-10,21
1212,137,2981,18-00,5
1212,137,3265,00-10,4
1212,137,3265,18-00,29
1212,137,3266,00-10,12
1212,137,3266,18-00,28
1212,137,3274,18-00,1
1212,137,3278,00-10,5
1212,185,1330,00-10,8
1212,185,1330,10-18,21
1212,185,1337,00-10,544
1212,185,1337,10-18,1635
1212,185,1337,18-00,421
1212,185,1341,18-00,2
1212,185,1342,00-10,1
1212,185,1342,18-00,1
1212,185,1345,00-10,3
1212,185,1345,18-00,2
1212,185,1346,10-18,26
1212,185,1346,18-00,7
1212,185,2297,10-18,1
1212,185,2297,18-00,1
1212,185,2327,00-10,1
1212,185,3024,10-18,15
1212,185,3269,00-10,8
1212,185,3269,18-00,68
1212,185,3286,00-10,4
1212,185,3287,00-10,4
1212,185,3288,10-18,9
1212,185,3288,18-00,2
1212,185,3292,00-10,48
1212,185,3292,10-18,36
1212,185,3292,18-00,42
1212,185,3293,10-18,5
1212,185,3293,18-00,10
1212,185,3294,18-00,3
1212,185,3295,00-10,1
1212,186,1354,00-10,28
1212,186,1354,18-00,18
1212,186,1356,00-10,2
1212,186,1357,00-10,4
1212,186,3311,00-10,136
1212,186,3311,10-18,242
1212,186,3311,18-00,46
1212,186,8130,00-10,10
1212,306,1687,00-10,8
1212,306,1689,00-10,17
1212,306,1689,10-18,3
1212,306,1689,18-00,2
1212,306,1761,00-10,216
1212,306,1761,10-18,1092
1212,306,1761,18-00,353
1212,306,1974,00-10,21
1212,306,3088,00-10,18
1212,306,3088,10-18,32
1212,306,3158,18-00,1
1212,306,3236,00-10,5
1212,306,3236,10-18,1
1212,306,7695,18-00,13
1212,370,1744,00-10,68
1212,370,1744,10-18,29
1212,370,1748,00-10,40
1212,370,1748,10-18,264
1212,370,1748,18-00,56
1212,370,1749,00-10,294
1212,370,1749,10-18,726
1212,370,1749,18-00,299
1212,524,185,00-10,106
1212,524,185,10-18,438
1212,524,185,18-00,121
1212,524,2101,00-10,7
1213,L26,7990,00-10,2
1214,L26,7990,00-10,23
1215,L26,7990,00-10,2
1216,L26,7990,00-10,23
1217,L26,7990,00-10,10
1218,L17,2076,10-18,17
1218,L17,3029,18-00,1
1219,195,1434,10-18,12
1219,195,1438,00-10,480
1219,195,1438,10-18,847
1219,195,1438,18-00,176
1219,195,1439,18-00,8
1219,L17,2075,00-10,10
1219,L17,2075,10-18,54
1219,L17,2075,18-00,22
1219,L17,3028,00-10,82
1219,L17,3028,10-18,233
1219,L17,3028,18-00,103
1220,195,1434,10-18,33
1220,195,1438,00-10,1294
1220,195,1438,10-18,1568
1220,195,1438,18-00,447
1220,195,1439,10-18,2
1220,195,1439,18-00,25
1220,L17,2075,00-10,25
1220,L17,2075,10-18,116
1220,L17,2075,18-00,49
1220,L17,3028,00-10,126
1220,L17,3028,10-18,600
1220,L17,3028,18-00,228
1221,195,1434,10-18,46
1221,195,1438,00-10,696
1221,195,1438,10-18,1007
1221,195,1438,18-00,242
1221,195,1439,10-18,2
1221,195,1439,18-00,15
1221,L17,2075,00-10,16
1221,L17,2075,10-18,55
1221,L17,2075,18-00,27
1221,L17,3028,00-10,74
1221,L17,3028,10-18,313
1221,L17,3028,18-00,122
1222,195,8088,00-10,24
1222,195,8091,00-10,123
1222,195,8091,10-18,296
1222,195,8091,18-00,63
1222,370,1744,00-10,38
1222,370,1744,10-18,5
1222,370,1749,00-10,110
1222,370,1749,10-18,387
1222,370,1749,18-00,129
1222,76,7512,00-10,10
1222,76,7512,10-18,10
1222,76,7516,00-10,37
1222,76,7516,10-18,229
1222,76,7516,18-00,49
1222,L18,2078,00-10,11
1222,L18,2078,10-18,94
1222,L18,2078,18-00,65
1223,195,8088,00-10,38
1223,195,8091,00-10,87
1223,195,8091,10-18,145
1223,195,8091,18-00,95
1223,370,1744,00-10,19
1223,370,1744,10-18,6
1223,370,1749,00-10,71
1223,370,1749,10-18,198
1223,370,1749,18-00,117
1223,76,7512,00-10,5
1223,76,7512,10-18,1
1223,76,7516,00-10,18
1223,76,7516,10-18,128
1223,76,7516,18-00,51
1223,L18,2078,00-10,11
1223,L18,2078,10-18,85
1223,L18,2078,18-00,79
1224,195,8088,00-10,20
1224,195,8091,00-10,33
1224,195,8091,10-18,91
1224,195,8091,18-00,23
1224,370,1744,00-10,13
1224,370,1744,10-18,4
1224,370,1749,00-10,47
1224,370,1749,10-18,112
1224,370,1749,18-00,81
1224,76,7512,00-10,5
1224,76,7516,00-10,19
1224,76,7516,10-18,64
1224,76,7516,18-00,23
1224,L18,2078,00-10,16
1224,L18,2078,10-18,109
1224,L18,2078,18-00,36
1225,195,8088,00-10,28
1225,195,8091,00-10,37
1225,195,8091,10-18,83
1225,195,8091,18-00,22
1225,370,1744,00-10,15
1225,370,1744,10-18,1
1225,370,1749,00-10,38
1225,370,1749,10-18,116
1225,370,1749,18-00,23
1225,76,7512,00-10,5
1225,76,7516,00-10,14
1225,76,7516,10-18,56
1225,76,7516,18-00,8
1225,L18,2078,00-10,10
1225,L18,2078,10-18,31
1225,L18,2078,18-00,15
1226,195,8088,00-10,12
1226,195,8091,00-10,9
1226,195,8091,10-18,61
1226,195,8091,18-00,15
1226,370,1744,00-10,27
1226,370,1744,10-18,3
1226,370,1749,00-10,7
1226,370,1749,10-18,56
1226,370,1749,18-00,18
1226,76,7512,00-10,2
1226,76,7512,10-18,2
1226,76,7516,00-10,6
1226,76,7516,10-18,22
1226,76,7516,18-00,5
1226,L18,2078,00-10,2
1226,L18,2078,10-18,50
1226,L18,2078,18-00,14
1227,195,8088,00-10,10
1227,195,8091,00-10,2
1227,195,8091,10-18,5
1227,195,8091,18-00,2
1227,370,1744,00-10,2
1227,370,1749,00-10,5
1227,370,1749,10-18,6
1227,370,1749,18-00,4
1227,76,7516,00-10,1
1227,76,7516,10-18,9
1227,76,7516,18-00,4
1227,L18,2078,10-18,8
1227,L18,2078,18-00,1
1228,195,8088,00-10,7
1228,195,8091,00-10,4
1228,195,8091,10-18,2
1228,370,1744,00-10,6
1228,370,1749,00-10,2
1228,370,1749,10-18,1
1228,76,7512,00-10,2
1228,76,7516,10-18,3
1228,L18,2078,00-10,4
1228,L18,2078,10-18,1
1229,195,8088,00-10,3
1229,195,8091,00-10,2
1229,195,8091,10-18,1
1229,370,1744,00-10,2
1229,370,1744,10-18,1
1229,370,1749,00-10,1
1229,370,1749,18-00,1
1229,76,7516,10-18,11
1229,76,7516,18-00,1
1230,L26,7990,00-10,1
1231,L26,7990,00-10,1
1232,L26,7990,00-10,2
1233,L26,7990,00-10,1
1235,17,7476,00-10,25
1235,17,7476,10-18,72
1235,17,7476,18-00,37
1235,185,1330,10-18,4
1235,185,1337,00-10,40
1235,185,1337,10-18,149
1235,185,1337,18-00,95
1235,185,1342,18-00,2
1235,185,1346,18-00,3
1235,185,3024,10-18,1
1235,185,3024,18-00,6
1235,185,3269,00-10,1
1235,185,3269,18-00,11
1235,185,3295,00-10,1
1235,306,1689,00-10,1
1235,306,1689,10-18,1
1235,306,1761,00-10,31
1235,306,1761,10-18,141
1235,306,1761,18-00,60
1235,306,3088,00-10,2
1235,L26,7990,00-10,11
1236,17,7476,00-10,11
1236,17,7476,10-18,50
1236,17,7476,18-00,46
1236,185,1337,00-10,12
1236,185,1337,10-18,102
1236,185,1337,18-00,38
1236,185,1345,18-00,1
1236,185,1346,10-18,2
1236,185,1346,18-00,1
1236,185,3269,00-10,2
1236,185,3269,18-00,10
1236,306,1761,00-10,7
1236,306,1761,10-18,44
1236,306,1761,18-00,55
1236,306,3088,00-10,1
1236,306,3088,10-18,1
1236,306,3236,00-10,1
1236,L26,7990,00-10,5
1237,17,7476,00-10,26
1237,17,7476,10-18,110
1237,17,7476,18-00,52
1237,185,1337,00-10,49
1237,185,1337,10-18,183
1237,185,1337,18-00,70
1237,185,1346,00-10,1
1237,185,1346,18-00,1
1237,185,3295,00-10,1
1237,306,1761,00-10,39
1237,306,1761,10-18,133
1237,306,1761,18-00,38
1237,306,1974,00-10,1
1237,306,3088,10-18,3
1237,306,3236,00-10,1
1237,L12,7562,00-10,1
1237,L12,7564,00-10,60
1237,L12,7564,10-18,31
1237,L26,7990,00-10,5
1243,17,7476,00-10,9
1243,17,7476,10-18,21
1243,17,7476,18-00,6
1243,185,1337,00-10,6
1243,185,1337,10-18,32
1243,185,1337,18-00,11
1243,185,1346,00-10,2
1243,306,1761,00-10,10
1243,306,1761,10-18,25
1243,306,1761,18-00,9
1243,306,1974,00-10,1
1243,306,3088,10-18,1
1243,L12,7564,00-10,18
1243,L12,7564,10-18,27
1245,17,7478,00-10,1016
1245,17,7478,10-18,1405
1245,17,7478,18-00,449
1245,17,7480,00-10,44
1245,185,1347,00-10,2263
1245,185,1347,10-18,2850
1245,185,1347,18-00,901
1245,185,1348,00-10,215
1245,185,1348,10-18,110
1245,185,1348,18-00,118
1245,185,1350,18-00,24
1245,185,1351,00-10,6
1245,185,1351,10-18,25
1245,185,1351,18-00,58
1245,185,1352,00-10,29
1245,185,1352,10-18,1
1245,185,1352,18-00,52
1245,306,7657,00-10,12
1245,306,7657,10-18,39
1245,306,7657,18-00,37
1245,306,7666,00-10,1208
1245,306,7666,10-18,1841
1245,306,7666,18-00,369
1245,306,7669,00-10,6
1245,306,7669,10-18,21
1245,306,7669,18-00,70
1245,306,7671,00-10,3
1245,306,7671,10-18,2
1245,306,7671,18-00,20
1245,306,7676,00-10,56
1245,306,7676,10-18,14
1245,306,7676,18-00,88
1245,306,7730,00-10,12
1245,306,7730,10-18,1
1245,306,7730,18-00,8
1245,306,7731,00-10,20
1245,306,7731,10-18,5
1245,306,7731,18-00,82
1245,306,7858,10-18,2
1245,L12,7561,10-18,11
1245,L12,7563,00-10,4
1245,L12,7563,10-18,107
1245,L12,7563,18-00,4
1245,L26,7989,00-10,110
1246,17,7478,00-10,637
1246,17,7478,10-18,756
1246,17,7478,18-00,226
1246,17,7480,00-10,16
1246,185,1332,10-18,21
1246,185,1332,18-00,24
1246,185,1347,00-10,1552
1246,185,1347,10-18,2069
1246,185,1347,18-00,643
1246,185,1348,00-10,103
1246,185,1348,10-18,69
1246,185,1348,18-00,105
1246,185,1350,18-00,15
1246,185,1351,00-10,9
1246,185,1351,10-18,19
1246,185,1351,18-00,23
1246,185,1352,00-10,21
1246,185,1352,10-18,2
1246,185,1352,18-00,37
1246,306,7657,00-10,5
1246,306,7657,10-18,26
1246,306,7657,18-00,23
1246,306,7666,00-10,642
1246,306,7666,10-18,1170
1246,306,7666,18-00,239
1246,306,7669,00-10,8
1246,306,7669,10-18,20
1246,306,7669,18-00,47
1246,306,7671,00-10,4
1246,306,7671,10-18,2
1246,306,7671,18-00,12
1246,306,7676,00-10,6
1246,306,7676,10-18,3
1246,306,7676,18-00,41
1246,306,7730,00-10,2
1246,306,7730,10-18,6
1246,306,7730,18-00,8
1246,306,7731,00-10,20
1246,306,7731,10-18,3
1246,306,7731,18-00,43
1246,306,7858,10-18,4
1246,L26,7989,00-10,75
1247,17,7478,00-10,1359
1247,17,7478,10-18,1656
1247,17,7478,18-00,478
1247,17,7480,00-10,22
1247,185,1332,10-18,41
1247,185,1332,18-00,23
1247,185,1347,00-10,2585
1247,185,1347,10-18,3588
1247,185,1347,18-00,987
1247,185,1348,00-10,185
1247,185,1348,10-18,125
1247,185,1348,18-00,188
1247,185,1350,18-00,37
1247,185,1351,00-10,11
1247,185,1351,10-18,25
1247,185,1351,18-00,46
1247,185,1352,00-10,35
1247,185,1352,10-18,2
1247,185,1352,18-00,57
1247,306,7657,00-10,35
1247,306,7657,10-18,42
1247,306,7657,18-00,47
1247,306,7666,00-10,1489
1247,306,7666,10-18,2649
1247,306,7666,18-00,526
1247,306,7669,00-10,11
1247,306,7669,10-18,29
1247,306,7669,18-00,49
1247,306,7671,00-10,10
1247,306,7671,10-18,6
1247,306,7671,18-00,22
1247,306,7676,00-10,34
1247,306,7676,10-18,13
1247,306,7676,18-00,51
1247,306,7730,00-10,5
1247,306,7730,10-18,10
1247,306,7730,18-00,14
1247,306,7731,00-10,25
1247,306,7731,10-18,17
1247,306,7731,18-00,101
1247,306,7858,10-18,8
1247,L26,7989,00-10,92
1248,17,7478,00-10,51
1248,17,7478,10-18,42
1248,17,7478,18-00,77
1248,17,7480,00-10,1
1248,L26,7989,00-10,68
1249,17,7478,00-10,361
1249,17,7478,10-18,593
1249,17,7478,18-00,111
1249,17,7480,00-10,6
1249,185,1332,10-18,10
1249,185,1332,18-00,8
1249,185,1347,00-10,837
1249,185,1347,10-18,1210
1249,185,1347,18-00,343
1249,185,1348,00-10,64
1249,185,1348,10-18,47
1249,185,1348,18-00,57
1249,185,1350,18-00,10
1249,185,1351,00-10,7
1249,185,1351,10-18,5
1249,185,1351,18-00,11
1249,185,1352,00-10,17
1249,185,1352,18-00,12
1249,L26,7989,00-10,23
1250,17,7478,00-10,1018
1250,17,7478,10-18,1379
1250,17,7478,18-00,236
1250,17,7480,00-10,20
1250,185,1332,10-18,28
1250,185,1332,18-00,21
1250,185,1347,00-10,1782
1250,185,1347,10-18,2792
1250,185,1347,18-00,497
1250,185,1348,00-10,134
1250,185,1348,10-18,81
1250,185,1348,18-00,69
1250,185,1350,18-00,10
1250,185,1351,00-10,2
1250,185,1351,10-18,25
1250,185,1351,18-00,17
1250,185,1352,00-10,11
1250,185,1352,10-18,1
1250,185,1352,18-00,19
1251,17,7478,00-10,1115
1251,17,7478,10-18,1328
1251,17,7478,18-00,450
1251,17,7480,00-10,34
1251,185,1332,10-18,35
1251,185,1332,18-00,17
1251,185,1347,00-10,2409
1251,185,1347,10-18,2854
1251,185,1347,18-00,710
1251,185,1348,00-10,222
1251,185,1348,10-18,109
1251,185,1348,18-00,117
1251,185,1350,10-18,1
1251,185,1350,18-00,17
1251,185,1351,00-10,1
1251,185,1351,10-18,24
1251,185,1351,18-00,30
1251,185,1352,00-10,34
1251,185,1352,10-18,6
1251,185,1352,18-00,37
1252,17,7478,00-10,1041
1252,17,7478,10-18,1515
1252,17,7478,18-00,444
1252,17,7480,00-10,26
1252,185,1332,10-18,42
1252,185,1332,18-00,28
1252,185,1333,18-00,1
1252,185,1347,00-10,2452
1252,185,1347,10-18,2980
1252,185,1347,18-00,938
1252,185,1348,00-10,204
1252,185,1348,10-18,100
1252,185,1348,18-00,134
1252,185,1350,18-00,15
1252,185,1351,00-10,2
1252,185,1351,10-18,24
1252,185,1351,18-00,52
1252,185,1352,00-10,27
1252,185,1352,18-00,41
1252,186,1358,00-10,413
1252,186,1358,10-18,455
1252,186,1358,18-00,136
1252,186,1359,00-10,7
1252,186,1359,10-18,42
1252,186,1359,18-00,44
1252,186,1360,00-10,23
1252,186,1360,18-00,12
1252,186,1361,00-10,21
1252,186,1361,18-00,6
1252,186,1362,10-18,1
1252,186,1362,18-00,2
1252,186,1866,18-00,2
1252,L23,2081,00-10,19
1252,L23,2081,10-18,24
1252,L23,2081,18-00,24
1254,185,1330,00-10,1
1254,185,1330,10-18,1
1254,185,1337,00-10,79
1254,185,1337,10-18,346
1254,185,1337,18-00,116
1254,185,1345,18-00,1
1254,185,1346,10-18,1
1254,185,1346,18-00,2
1254,185,3269,00-10,2
1254,185,3269,18-00,7
1254,185,3295,00-10,2
1254,186,1354,00-10,4
1254,186,1354,18-00,2
1254,186,3311,00-10,12
1254,186,3311,10-18,46
1254,186,3311,18-00,11
1254,L23,2082,10-18,13
1254,L23,2082,18-00,6
1255,17,7476,00-10,35
1255,17,7476,10-18,97
1255,17,7476,18-00,52
1255,185,1330,00-10,2
1255,185,1337,00-10,59
1255,185,1337,10-18,169
1255,185,1337,18-00,91
1255,185,1345,18-00,1
1255,185,1346,10-18,3
1255,185,3269,00-10,2
1255,185,3269,18-00,8
1256,17,7476,00-10,30
1256,17,7476,10-18,134
1256,17,7476,18-00,28
1256,185,1330,00-10,1
1256,185,1330,10-18,2
1256,185,1337,00-10,57
1256,185,1337,10-18,401
1256,185,1337,18-00,54
1256,185,1346,10-18,1
1256,185,3024,10-18,7
1256,185,3269,18-00,6
1256,185,3287,00-10,1
1256,185,3295,00-10,1
1257,306,7657,00-10,3
1257,306,7657,10-18,14
1257,306,7657,18-00,24
1257,306,7666,00-10,497
1257,306,7666,10-18,742
1257,306,7666,18-00,118
1257,306,7669,10-18,4
1257,306,7669,18-00,23
1257,306,7671,18-00,17
1257,306,7676,00-10,11
1257,306,7676,10-18,6
1257,306,7676,18-00,25
1257,306,7730,10-18,2
1257,306,7730,18-00,1
1257,306,7731,00-10,5
1257,306,7731,18-00,28
1257,306,7858,10-18,2
1257,L26,7989,00-10,56
1258,306,7657,00-10,10
1258,306,7657,10-18,42
1258,306,7657,18-00,35
1258,306,7666,00-10,1571
1258,306,7666,10-18,1745
1258,306,7666,18-00,440
1258,306,7669,10-18,32
1258,306,7669,18-00,47
1258,306,7671,00-10,25
1258,306,7671,10-18,19
1258,306,7671,18-00,17
1258,306,7676,00-10,26
1258,306,7676,10-18,3
1258,306,7676,18-00,60
1258,306,7730,00-10,3
1258,306,7730,10-18,10
1258,306,7730,18-00,4
1258,306,7731,00-10,7
1258,306,7731,18-00,78
1258,L26,7989,00-10,112
1259,306,7657,10-18,22
1259,306,7657,18-00,12
1259,306,7666,00-10,384
1259,306,7666,10-18,490
1259,306,7666,18-00,96
1259,306,7669,10-18,4
1259,306,7669,18-00,11
1259,306,7671,00-10,2
1259,306,7671,18-00,3
1259,306,7676,00-10,2
1259,306,7676,10-18,1
1259,306,7676,18-00,6
1259,306,7731,00-10,4
1259,306,7731,18-00,9
1259,306,7858,10-18,2
1259,L26,7989,00-10,115
1260,L26,7989,00-10,87
1261,L26,7989,00-10,80
1262,L26,7989,00-10,180
1263,306,1687,10-18,2
1263,306,1689,10-18,1
1263,306,1761,00-10,41
1263,306,1761,10-18,176
1263,306,1761,18-00,53
1263,306,1974,00-10,2
1263,306,3088,00-10,6
1263,306,3236,00-10,2
1264,306,1687,00-10,4
1264,306,1689,00-10,1
1264,306,1689,10-18,2
1264,306,1761,00-10,10
1264,306,1761,10-18,110
1264,306,1761,18-00,49
1264,306,1974,00-10,1
1264,306,3088,00-10,2
1264,306,3088,10-18,1
1265,306,1687,00-10,5
1265,306,1689,10-18,1
1265,306,1761,00-10,51
1265,306,1761,10-18,242
1265,306,1761,18-00,47
1265,306,3088,00-10,2
1265,306,3088,10-18,18
1265,306,3236,00-10,1
1266,306,1689,10-18,3
1266,306,1761,00-10,43
1266,306,1761,10-18,387
1266,306,1761,18-00,157
1266,306,1974,00-10,1
1266,306,3088,00-10,1
1266,306,3088,10-18,2
1266,306,3236,00-10,1
1267,306,1761,00-10,15
1267,306,1761,10-18,85
1267,306,1761,18-00,11
1268,306,1689,10-18,3
1268,306,1761,00-10,12
1268,306,1761,10-18,93
1268,306,1761,18-00,45
1269,306,7657,00-10,6
1269,306,7657,10-18,22
1269,306,7657,18-00,27
1269,306,7666,00-10,1354
1269,306,7666,10-18,1392
1269,306,7666,18-00,317
1269,306,7669,10-18,15
1269,306,7669,18-00,47
1269,306,7671,00-10,16
1269,306,7671,10-18,6
1269,306,7671,18-00,17
1269,306,7676,00-10,3
1269,306,7676,10-18,1
1269,306,7676,18-00,32
1269,306,7730,00-10,11
1269,306,7730,10-18,4
1269,306,7730,18-00,4
1269,306,7731,00-10,1
1269,306,7731,18-00,48
1269,306,7858,10-18,1
1270,306,7657,00-10,12
1270,306,7657,10-18,61
1270,306,7657,18-00,38
1270,306,7666,00-10,1544
1270,306,7666,10-18,1858
1270,306,7666,18-00,320
1270,306,7669,00-10,9
1270,306,7669,10-18,18
1270,306,7669,18-00,61
1270,306,7671,10-18,10
1270,306,7671,18-00,24
1270,306,7676,00-10,48
1270,306,7676,10-18,5
1270,306,7676,18-00,51
1270,306,7730,00-10,1
1270,306,7730,10-18,7
1270,306,7730,18-00,4
1270,306,7731,00-10,4
1270,306,7731,10-18,6
1270,306,7731,18-00,59
1270,306,7858,10-18,2
1271,306,7657,00-10,4
1271,306,7657,10-18,32
1271,306,7657,18-00,23
1271,306,7666,00-10,1033
1271,306,7666,10-18,1186
1271,306,7666,18-00,215
1271,306,7669,00-10,3
1271,306,7669,10-18,14
1271,306,7669,18-00,38
1271,306,7671,00-10,1
1271,306,7671,10-18,6
1271,306,7671,18-00,18
1271,306,7676,00-10,13
1271,306,7676,10-18,4
1271,306,7676,18-00,24
1271,306,7730,00-10,11
1271,306,7730,10-18,3
1271,306,7730,18-00,31
1271,306,7731,00-10,16
1271,306,7731,10-18,4
1271,306,7731,18-00,31
1272,306,7657,00-10,19
1272,306,7657,10-18,30
1272,306,7657,18-00,44
1272,306,7666,00-10,1820
1272,306,7666,10-18,1989
1272,306,7666,18-00,386
1272,306,7669,00-10,6
1272,306,7669,10-18,25
1272,306,7669,18-00,70
1272,306,7671,00-10,1
1272,306,7671,10-18,4
1272,306,7671,18-00,27
1272,306,7676,00-10,37
1272,306,7676,10-18,2
1272,306,7676,18-00,39
1272,306,7730,00-10,17
1272,306,7730,10-18,22
1272,306,7730,18-00,4
1272,306,7731,00-10,9
1272,306,7731,10-18,12
1272,306,7731,18-00,72
1272,306,7858,10-18,1
1273,17,7476,00-10,21
1273,17,7476,10-18,82
1273,17,7476,18-00,26
1274,17,7476,00-10,12
1274,17,7476,10-18,103
1274,17,7476,18-00,45
1275,17,7476,00-10,9
1275,17,7476,10-18,32
1275,17,7476,18-00,13
1276,17,7476,10-18,23
1276,17,7476,18-00,26
1277,17,7476,00-10,37
1277,17,7476,10-18,231
1277,17,7476,18-00,55
1278,17,7478,00-10,305
1278,17,7478,10-18,360
1278,17,7478,18-00,94
1278,17,7480,00-10,14
1279,17,7478,00-10,685
1279,17,7478,10-18,930
1279,17,7478,18-00,213
1279,17,7480,00-10,9
1280,17,7478,00-10,438
1280,17,7478,10-18,432
1280,17,7478,18-00,94
1280,17,7480,00-10,15
1281,17,7478,00-10,812
1281,17,7478,10-18,955
1281,17,7478,18-00,208
1281,17,7480,00-10,57
1283,125,673,00-10,1
1283,125,673,10-18,8
1283,125,675,00-10,1455
1283,125,675,10-18,2013
1283,125,675,18-00,440
1283,125,677,00-10,3
1283,125,677,10-18,25
1283,125,677,18-00,34
1283,125,683,00-10,33
1283,125,683,10-18,99
1283,125,683,18-00,43
1283,125,2032,00-10,174
1283,125,2032,10-18,479
1283,125,2032,18-00,139
1283,133,2095,00-10,2
1283,133,2269,10-18,2
1283,133,2269,18-00,1
1283,133,2984,00-10,412
1283,133,2984,18-00,12
1283,133,2986,00-10,111
1283,133,2986,18-00,3
1283,137,811,00-10,255
1283,137,811,10-18,1
1283,137,811,18-00,282
1283,137,812,00-10,203
1283,137,812,10-18,174
1283,137,812,18-00,120
1283,137,814,00-10,9
1283,137,814,10-18,33
1283,137,814,18-00,105
1283,137,819,00-10,822
1283,137,819,10-18,1664
1283,137,819,18-00,288
1283,163,1122,00-10,1382
1283,163,1122,10-18,1609
1283,163,1122,18-00,524
1283,163,1123,00-10,31
1283,163,1123,10-18,40
1283,163,1123,18-00,91
1283,163,1125,10-18,1
1283,163,1125,18-00,1
1283,163,1127,10-18,1
1283,163,1127,18-00,15
1283,163,7880,00-10,2
1283,163,7880,18-00,6
1283,17,7478,00-10,1088
1283,17,7478,10-18,1162
1283,17,7478,18-00,382
1283,17,7480,00-10,31
1283,185,1332,10-18,29
1283,185,1332,18-00,25
1283,185,1347,00-10,1593
1283,185,1347,10-18,2749
1283,185,1347,18-00,889
1283,185,1348,00-10,135
1283,185,1348,10-18,112
1283,185,1348,18-00,127
1283,185,1350,00-10,3
1283,185,1350,10-18,3
1283,185,1350,18-00,12
1283,185,1351,00-10,4
1283,185,1351,10-18,7
1283,185,1351,18-00,61
1283,185,1352,00-10,23
1283,185,1352,18-00,38
1283,185,2300,00-10,18
1283,185,2300,10-18,69
1283,185,2300,18-00,38
1283,185,2301,18-00,3
1283,186,1358,00-10,350
1283,186,1358,10-18,446
1283,186,1358,18-00,153
1283,186,1359,00-10,3
1283,186,1359,10-18,32
1283,186,1359,18-00,32
1283,186,1360,00-10,43
1283,186,1360,10-18,3
1283,186,1360,18-00,2
1283,186,1361,00-10,22
1283,186,1362,10-18,1
1283,195,1434,10-18,23
1283,195,1438,00-10,956
1283,195,1438,10-18,964
1283,195,1438,18-00,431
1283,195,1439,00-10,13
1283,195,1439,10-18,3
1283,195,1439,18-00,58
