COD_UBIC_P,DESC_LINEA,COD_VARIAN,franja_horaria,cant_viajes
554,191,1391,00-10,58
554,191,1391,10-18,308
554,191,1391,18-00,147
554,191,1933,00-10,88
554,191,1933,10-18,494
554,191,1933,18-00,249
554,192,1418,00-10,193
554,192,1418,10-18,530
554,192,1418,18-00,207
554,192,1420,18-00,2
554,192,1423,00-10,1
554,192,1423,10-18,12
554,192,2233,00-10,16
554,192,3027,10-18,6
554,192,7614,00-10,46
554,192,7614,10-18,56
554,192,7614,18-00,26
554,192,7615,10-18,3
554,316,1703,18-00,3
554,316,1763,00-10,98
554,316,1763,10-18,505
554,316,1763,18-00,142
554,328,1711,00-10,61
554,328,1711,10-18,248
554,328,1711,18-00,98
554,329,7367,00-10,5
554,329,7725,00-10,43
554,329,7725,10-18,136
554,329,7725,18-00,80
554,329,7743,10-18,5
554,329,7809,10-18,105
554,329,7809,18-00,49
554,494,129,00-10,25
554,494,129,10-18,157
554,494,129,18-00,52
554,494,2628,10-18,67
554,494,2628,18-00,9
554,494,2653,00-10,6
554,494,2653,10-18,84
554,494,2653,18-00,46
554,494,2902,10-18,76
554,494,2902,18-00,105
554,494,3303,10-18,10
554,494,3305,10-18,20
554,494,3305,18-00,1
554,494,3307,10-18,18
554,494,3307,18-00,3
554,495,141,00-10,58
554,76,7513,10-18,4
554,76,7514,00-10,6
554,76,7514,10-18,50
554,76,7514,18-00,20
554,76,7517,00-10,74
554,76,7517,10-18,303
554,76,7517,18-00,115
555,117,635,00-10,17
555,117,635,10-18,142
555,117,635,18-00,44
555,117,2779,00-10,8
555,117,2779,18-00,21
555,192,1407,00-10,179
555,192,1407,10-18,704
555,192,1407,18-00,261
555,192,1408,10-18,3
555,192,1408,18-00,13
555,192,2271,10-18,107
555,192,2271,18-00,31
555,199,1453,00-10,19
555,199,1453,10-18,101
555,199,1453,18-00,42
555,199,1457,10-18,4
555,300,1659,00-10,84
555,300,1659,10-18,293
555,300,1659,18-00,136
555,300,1661,18-00,1
555,300,1662,00-10,1
555,300,1969,10-18,1
555,405,24,00-10,98
555,405,24,10-18,252
555,405,24,18-00,113
555,405,25,00-10,56
555,405,25,10-18,417
555,405,25,18-00,54
555,405,27,18-00,1
555,405,28,00-10,2
555,405,28,10-18,4
555,405,8058,00-10,5
555,405,8058,18-00,56
556,121,7883,10-18,1
556,121,7884,00-10,1297
556,121,7884,10-18,5746
556,121,7884,18-00,2222
556,121,8076,10-18,1
556,174,7719,00-10,482
556,174,7719,10-18,1123
556,174,7719,18-00,441
556,174,7721,00-10,103
556,174,7721,10-18,281
556,174,7721,18-00,135
556,174,7756,10-18,37
556,174,7756,18-00,28
556,174,7757,10-18,2
556,174,7769,10-18,19
556,174,7769,18-00,34
556,174,7783,00-10,34
556,174,7783,10-18,18
556,174,7783,18-00,8
556,183,7607,00-10,1648
556,183,7607,10-18,5698
556,183,7607,18-00,2080
556,183,8013,00-10,3
556,183,8013,10-18,69
556,183,8013,18-00,125
556,183,8068,00-10,20
556,183,8068,10-18,20
556,183,8068,18-00,84
556,183,8071,00-10,37
556,183,8071,10-18,43
556,183,8071,18-00,39
556,183,8072,00-10,10
556,300,1667,00-10,1084
556,300,1667,10-18,3160
556,300,1667,18-00,1686
556,300,1672,00-10,36
556,300,1672,10-18,4
556,300,1672,18-00,23
556,407,52,00-10,335
556,407,52,10-18,961
556,407,52,18-00,442
556,407,53,00-10,31
556,407,53,18-00,3
556,407,2055,10-18,2
556,407,2055,18-00,4
556,71,7503,00-10,130
556,71,7503,10-18,337
556,71,7503,18-00,135
556,PRUEX_14,7882,00-10,31
556,PRUEX_14,7882,10-18,269
556,PRUEX_14,7882,18-00,112
557,127,698,00-10,152
557,127,698,10-18,36
557,127,698,18-00,218
557,127,699,10-18,17
557,127,699,18-00,8
557,127,700,00-10,6
557,127,700,10-18,6
557,127,700,18-00,44
557,127,702,10-18,45
557,127,708,00-10,163
557,127,708,10-18,376
557,127,708,18-00,109
557,127,710,10-18,124
557,127,2411,00-10,937
557,127,2411,10-18,818
557,127,2411,18-00,56
557,127,2526,00-10,151
557,127,2526,18-00,51
557,127,2668,00-10,90
557,127,2668,10-18,31
557,127,2668,18-00,124
557,127,2671,00-10,183
557,127,2671,10-18,296
557,127,2671,18-00,77
557,127,2673,10-18,15
557,127,2675,10-18,104
557,127,2680,10-18,2
557,127,2683,10-18,143
557,127,2686,00-10,2
557,127,2686,10-18,3
557,127,2686,18-00,6
557,127,2687,10-18,6
557,127,2687,18-00,1
557,127,2688,10-18,6
557,127,2688,18-00,66
557,127,2694,10-18,7
557,127,3189,00-10,11
557,127,3189,10-18,65
557,127,3190,00-10,40
557,127,3190,10-18,43
557,127,3191,10-18,740
557,494,129,00-10,569
557,494,129,10-18,1018
557,494,129,18-00,445
557,494,131,18-00,6
557,494,132,00-10,1
557,494,132,10-18,2
557,494,2653,00-10,283
557,494,2653,10-18,583
557,494,2653,18-00,410
557,494,2720,18-00,2
557,494,2733,00-10,31
557,494,2902,00-10,153
557,494,2902,10-18,538
557,494,2902,18-00,180
557,494,3303,10-18,113
557,494,3305,10-18,69
557,494,3307,10-18,109
557,D3,1536,00-10,71
558,127,695,10-18,4
558,127,695,18-00,15
558,127,701,00-10,4
558,127,701,10-18,10
558,127,705,10-18,49
558,127,705,18-00,24
558,127,709,00-10,7
558,127,709,10-18,20
558,127,1875,00-10,1
558,127,1875,10-18,2
558,127,2667,10-18,2
558,127,2667,18-00,7
558,127,2670,10-18,25
558,127,2670,18-00,31
558,127,2672,00-10,6
558,127,2672,10-18,3
558,127,2674,00-10,8
558,127,2674,10-18,30
558,494,121,00-10,9
558,494,121,10-18,71
558,494,121,18-00,36
558,494,2652,00-10,9
558,494,2652,10-18,52
558,494,2652,18-00,25
558,494,3302,00-10,2
558,494,3302,10-18,16
558,494,3304,00-10,3
558,494,3304,10-18,11
559,127,695,10-18,3
559,127,695,18-00,12
559,127,701,00-10,5
559,127,701,10-18,4
559,127,705,10-18,19
559,127,705,18-00,35
559,127,709,00-10,1
559,127,709,10-18,18
559,127,1875,00-10,3
559,127,1882,10-18,1
559,127,2667,10-18,2
559,127,2667,18-00,5
559,127,2670,10-18,14
559,127,2670,18-00,17
559,127,2672,00-10,10
559,127,2674,00-10,9
559,127,2674,10-18,19
559,127,2685,00-10,1
559,127,3187,10-18,73
559,494,121,00-10,6
559,494,121,10-18,60
559,494,121,18-00,54
559,494,2652,00-10,9
559,494,2652,10-18,38
559,494,2652,18-00,30
559,494,3302,00-10,5
559,494,3302,10-18,20
559,494,3304,00-10,2
559,494,3304,10-18,6
559,D3,1535,18-00,1
560,133,2986,00-10,2
560,L1,1554,10-18,2
560,L1,2379,00-10,3
561,L1,1551,00-10,1
561,L1,2352,10-18,1
562,L5,1582,00-10,542
562,L5,1582,10-18,496
562,L5,1582,18-00,98
563,124,650,00-10,182
563,124,650,10-18,206
563,124,650,18-00,57
563,124,2172,00-10,4
